CNES,NOME FANTASIA,UF,MUNICIPIO
6236731,FISIOCLINIC,SC,DIONISIO CERQUEIRA
6820352,COSLAB,SC,DIONISIO CERQUEIRA
6431771,LABORATORIO PROTEUS,SC,DIONISIO CERQUEIRA
2665867,POLICLINICA MUNICIPAL DE BRACO DO NORTE,SC,BRACO DO NORTE
5142571,CLINORTE,SC,BRACO DO NORTE
4058119,UNIDADE DE ENFRETAMENTO EMERGENCIA,SC,BRACO DO NORTE
2385325,PROGRAMA SAUDE DA FAMILIA ESF RIO BONITO,SC,BRACO DO NORTE
6188443,KARLA CRISTINE DA SILVA CONCEICAO,SC,BRACO DO NORTE
6335160,THIAGO DE AZEVEDO BORGES DE SOUZA,SC,BRACO DO NORTE
2385309,LABORATORIO SANTA ISABEL,SC,BRACO DO NORTE
6415369,MONICA WERNER SALVALAGGIO,SC,BRACO DO NORTE
6188486,ROSSANA COLLACO ALBERTON HAAS,SC,BRACO DO NORTE
2665913,PROGRAMA SAUDE DA FAMILIA ESF SAO BASILIO,SC,BRACO DO NORTE
6494315,EDERBAL FOREST DA SILVA,SC,BRACO DO NORTE
2377241,UNIDADE SANITARIA CENTRO DE BRACO DO TROMBUDO,SC,BRACO DO TROMBUDO
2377276,LAR DE IDOSOS RECANTO DO SOSSEGO,SC,BRACO DO TROMBUDO
2377268,UNIDADE SANITARIA SERRIL,SC,BRACO DO TROMBUDO
6382622,SECRETARIA MUNICIPAL DE SAUDE DE BRUNOPOLIS,SC,BRUNOPOLIS
2689936,U S MAROMBAS,SC,BRUNOPOLIS
7041195,UNIDADE DE SAUDE PAQUETA,SC,BRUSQUE
5881269,FABIO BENEDETTI RODRIGUES,SC,BRUSQUE
2522470,SINDMESTRE,SC,BRUSQUE
6303218,QUALIFISIO,SC,BRUSQUE
2642018,PAULO ROBERTO PANKO,SC,BRUSQUE
2642050,DANIELA CELA,SC,BRUSQUE
5880866,GILDO JOSE DA SILVA,SC,BRUSQUE
5877105,FERNANDO LUIZ MACHADO,SC,BRUSQUE
5971993,DANIELA SALVADOR ALVES,SC,BRUSQUE
6442218,SECRETARIA MUNICIPAL DE SAUDE DE BRUSQUE,SC,BRUSQUE
6353142,CLINICA DE SERVICOS MEDICOS BRUSQUE SS LTDA,SC,BRUSQUE
6235034,CLINI VITA,SC,BRUSQUE
6428460,CLINICA DE FISIOTERAPIA MUNICIPAL,SC,BRUSQUE
6415326,16 GERENCIA DE SAUDE BRUSQUE,SC,BRUSQUE
6018432,MARCUS VINICIUS BAUER MORITZ,SC,BRUSQUE
6272894,CORPO DE BOMBEIROS DE BRUSQUE,SC,BRUSQUE
2641844,DENIA DONIT E PANKO,SC,BRUSQUE
6279937,CONSULTORIO ODONTOLOGICO DR GUILHERME HEIL,SC,BRUSQUE
6300960,CEO CENTRO DE ESPECIALIDADES ODONTOLOGICAS,SC,BRUSQUE
5889081,ANDRESSA BORNSCHEIN,SC,BRUSQUE
6732429,CLINICA DA MULHER DE BRUSQUE,SC,BRUSQUE
6709478,CLINICA DE RADIOLOGIA AZAMBUJA LTDA,SC,BRUSQUE
6621953,RAFAEL SAADI JUNIOR,SC,BRUSQUE
6612172,JOSIANE FISCHER,SC,BRUSQUE
6769330,CLINICA BRUSQUE DE MEDICOS ASSOCIADOS SS LTDA,SC,BRUSQUE
6624472,DENISE LOPES LORENZON,SC,BRUSQUE
6680275,SINTRICOMB,SC,BRUSQUE
7045263,CAPS AD BRUSQUE,SC,BRUSQUE
6811760,PHYSIS CLINICA DE FISIOTERAPIA,SC,BRUSQUE
6889409,CLINICA MEDICA GALDEANO,SC,BRUSQUE
6929842,CLINICA UNIDA DE SERVICOS MEDICOS,SC,BRUSQUE
6751679,CENTRO OFTALMOLOGICO DE BRUSQUE,SC,BRUSQUE
6420311,UNIDADE DE SAUDE POCO FUNDO,SC,BRUSQUE
6664547,ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BRUSQUE,SC,BRUSQUE
6891160,CONSULTORIO MEDICO DR MARCEL S CASAGRANDE,SC,BRUSQUE
6929834,CLINICA DE ATENDIMENTOS MEDICOS DE BRUSQUE,SC,BRUSQUE
7037732,UNIDADE DE SAUDE SAO LUIZ,SC,BRUSQUE
7019815,CENTRAL DE REGULACAO DO ACESSO DE BRUSQUE,SC,BRUSQUE
6884164,LEONARDO FISCHER NETO,SC,BRUSQUE
7025793,FUNCIONAL FISIOTERAPIA E PILATES,SC,BRUSQUE
6000045,ROGERIO ERZINGER,SC,BRUSQUE
6548431,UNIMED BRUSQUE,SC,BRUSQUE
6569404,LABORATORIO DE ANALISES CLINICAS UNIMED DE BRUSQUE,SC,BRUSQUE
2302187,POSTO DE SAUDE DO BAIRRO SANTA CATARINA,SC,CACADOR
2302152,SIND DOS TRABALHADORES RURAIS,SC,CACADOR
3530760,FISIOVIDA,SC,CACADOR
5062004,ROSANGELA RODRIGUES FERREIRA JERONYMO,SC,CACADOR
3561429,AIRTON JOSE AGUIAR,SC,CACADOR
3561526,LUIS FERNANDO GARCIA JERONYMO,SC,CACADOR
5168201,ILSE MARIA SCHMIDT DRIESSEN,SC,CACADOR
2378698,UNIDADE DE SAUDE POSTO CENTRAL,SC,GUARACIABA
5677343,JOSIANE BEATRIZ SCALCON DE MORAIS DE CASTRO,SC,GUARACIABA
2378116,ASSOCIACAO BENEFICENTE HOSPITAL SAO LUCAS,SC,GUARACIABA
6610013,CONSULTORIO ODONTOLOGICO XAVIER JOSE RAMBO,SC,GUARACIABA
2551004,MARCIA MARIA REBELATTO,SC,GUARACIABA
5973430,PREST SERV SERVICOS MEDICOS SS,SC,GUARAMIRIM
6518117,TERAPEUTICA FARMACIA,SC,GUARAMIRIM
6000835,RAFAEL SALVADOR DE BEM,SC,GUARAMIRIM
6057667,RICARDO VIEIRA FERREIRA,SC,GUARAMIRIM
6006787,CLINICA DEL GALDIO,SC,GUARAMIRIM
6259723,CONSULTORIO MEDICO GUARA LTDA,SC,GUARAMIRIM
6515770,DROGARIA CATARINENSE,SC,GUARAMIRIM
6512356,DROGARIA CALCADAO,SC,GUARAMIRIM
6489222,F A ODONTOLOGIA,SC,GUARAMIRIM
6504841,FARMACIA PRAWUCKI,SC,GUARAMIRIM
6513026,TERAPEUTICA FARMACIA,SC,GUARAMIRIM
6849946,CONSULTORIO ODONTOLOGICO DRA FABIANE SELEME,SC,GUARAMIRIM
6827004,CAIO FABRE CARINHENA,SC,GUARAMIRIM
6625428,AME AMBULATORIO MUNICIPAL DE ESPECIALIDADES,SC,GUARAMIRIM
6587097,FARMACIA LYRA,SC,GUARAMIRIM
6912818,FARMACIA TOPFARMA,SC,GUARAMIRIM
6586910,FARMACIA PHARMANOVA,SC,GUARAMIRIM
6997309,MARINEZ ZAREMBSKI,SC,GUARAMIRIM
6912826,SARAHFARMA,SC,GUARAMIRIM
7026978,ESF ILHA DA FIGUEIRA,SC,GUARAMIRIM
6553443,FARMACIA BIOFAR,SC,GUARAMIRIM
6933238,FARMACELAI,SC,GUARAMIRIM
6791786,LUNENDER INDUSTRIA DO VESTUARIO LTDA,SC,GUARAMIRIM
2378736,UNIDADE SANITARIA SEDE DE GUARUJA DO SUL,SC,GUARUJA DO SUL
2551055,CONSULTORIO ADAIR JOAO HOFFMANN,SC,GUARUJA DO SUL
2551586,ANDREIA SCHMIDT,SC,GUARUJA DO SUL
2378175,HOSPITAL GUARUJA,SC,GUARUJA DO SUL
3971198,LABORGRIMM MEDICINA DO TRABALHO,SC,GUARUJA DO SUL
6511597,SECRETARIA MUNICIPAL DA SAUDE DE GUARUJA DO SUL,SC,GUARUJA DO SUL
2553260,PSF FAZENDA ZANDAVALLI,SC,GUATAMBU
2553252,UNIDADE DE SAUDE SEDE DE GUATAMBU,SC,GUATAMBU
6534457,SECRETARIA MUNICIPAL DE SAUDE GUATAMBU,SC,GUATAMBU
6924638,ESF INTERIOR,SC,HERVAL D'OESTE
6423752,SECRETARIA DE SAUDE HERVAL DOESTE,SC,HERVAL D'OESTE
5916127,LABORATORIO PASTEUR UNIDADE DE HERVAL D OESTE,SC,HERVAL D'OESTE
5973716,ESPACO FISIO,SC,HERVAL D'OESTE
5943248,LABORATORIO PASTEUR,SC,IBIAM
6448852,SECRETARIA MUNICIPAL DE SAUDE DE IBIAM,SC,IBIAM
6544045,CORPPUSFISIO CONSULTORIO DE FISIOTERAPIA,SC,IBIAM
2302608,UNIDADE DE SAUDE DE IBIAM,SC,IBIAM
6544002,CONSULTORIO ODONTOLOGICO,SC,IBIAM
5889014,POSTO DE COLETA IBICARE,SC,IBICARE
2379961,UNIDADE SANITARIA DE IBICARE,SC,IBICARE
6430007,SECRETARIA DE SAUDE DE IBICARE,SC,IBICARE
2379953,CLINICA REVIVER,SC,IBICARE
6012345,FERNANDO BUNN,SC,IBICARE
6198589,ESF CENTRO,SC,IBIRAMA
6440258,CENTRO DE ATENCAO PSICOSSOCIAL CAPS,SC,IBIRAMA
5008417,ESF AREADO,SC,IBIRAMA
6379869,SECRETARIA MUNICIPAL DE SAUDE DE IBIRAMA,SC,IBIRAMA
2691884,HOSPITAL DR WALDOMIRO COLAUTTI,SC,IBIRAMA
2377853,LACIB LABORATORIO IBIRAMA,SC,IBIRAMA
5079918,DR ANA CARLA,SC,IBIRAMA
5079896,DR ANGELO,SC,IBIRAMA
2702231,ESF PE ANCHIETA,SC,IBIRAMA
2377845,LABORATORIO CRISTINA,SC,IBIRAMA
6132669,CLINICA MONTEIRO LINS,SC,IBIRAMA
3790479,DR GRACA,SC,IBIRAMA
3795268,DR HORST,SC,IBIRAMA
2377888,DR PAULO,SC,IBIRAMA
3790460,DR ARAUJO,SC,IBIRAMA
3790509,DR HENRIQUE,SC,IBIRAMA
5202760,MARIA AUREA,SC,IBIRAMA
2702525,PSF DALBERGIA,SC,IBIRAMA
2377896,REHABILITARIA,SC,IBIRAMA
2702517,PSF SERRA SAO MIGUEL,SC,IBIRAMA
2377837,ULTRAMED,SC,IBIRAMA
5905818,DANIELLE DA SILVA OLIVEIRA,SC,ICARA
6303978,CLINIFISIO,SC,ICARA
6408583,CAROLINA COSTA ROSSO ROCHA,SC,ICARA
7011156,VITAL CLINICA,SC,ICARA
5877091,RAQUEL DE OLIVEIRA,SC,ICARA
6510841,SULCARDIO CLINICA CARDIOLOGICA,SC,ICARA
6402712,RENATO MICHELON,SC,ICARA
6421334,SECRETARIA MUNICIPAL DE SAUDE DE ICARA SMS ICARA,SC,ICARA
6792758,ZULMA PEREIRA VELHO,SC,ICARA
2303302,UNIDADE SANITARIA DE ILHOTA,SC,ILHOTA
2303310,UNIDADE BASICA DE SAUDE PEDRA DE AMOLAR,SC,ILHOTA
2303337,UNIDADE BASICA DE SAUDE AUGUSTINO ZIMERMANN,SC,ILHOTA
6432611,SECRETARIA MUNICIPAL DE SAUDE E SANEAMENTO,SC,ILHOTA
6465145,UNIDADE DE SAUDE ANA COLLA LAMIM,SC,ILHOTA
6975208,UNIDADE DE SAUDE ALTO BAU,SC,ILHOTA
2690500,PSF DE SAO TOMAS PSF,SC,IMARUI
2691108,LIENE PEREIRA CORREA,SC,IMARUI
2690497,PSF DE FORQUILHA DO RIO DUNA PSF,SC,IMARUI
2690470,PSF DE ARATINGAUBA PSF,SC,IMARUI
2385643,LABORATORIO SENHOR BOM JESUS DOS PASSOS,SC,IMARUI
2692279,CLINICA MEDICA DR AIRTO LTDA ME,SC,IMARUI
2690209,RUI JOSE CANDEMIL,SC,IMARUI
6480950,SECRETARIA MUNICIPAL DE SAUDE,SC,IMARUI
6200117,ESCOLA ESPECIAL ARCO IRIS,SC,IMARUI
2385678,UNIDADE SANITARIA CENTRAL,SC,IMARUI
2691531,HOSPITAL SAO JOAO BATISTA,SC,IMARUI
2690489,PSF DE CANGUERI PSF,SC,IMARUI
6081940,PRO ATIVA MEDICINA DO TRABALHO E ORTOPEDIA,SC,IMBITUBA
6758703,TERCEIRA DENTICAO,SC,IMBITUBA
6442285,SECRETARIA MUNICIPAL DE SAUDE IMBITUBA,SC,IMBITUBA
6655327,LABORATORIO TRINDADE,SC,IMBITUBA
6288677,PROIMPLAN ONDONTOLOGIA E ESTETICA OROFACIAL,SC,IMBITUBA
5971241,CENTRO DE REABILITACAO SAUDE BEM ESTAR,SC,IMBITUBA
6621422,CDI IMAGEM,SC,IMBITUBA
6656420,CLINICA MEDICA SAUDE PLENA,SC,IMBITUBA
6438237,ESPACO VITALITTA,SC,IMBITUBA
6467997,ODONTOKIST,SC,IMBITUBA
6807089,REDE FEMININA REGIONAL DE COMBATE AO CANCER DE IMBITUBA,SC,IMBITUBA
7029330,EXPERTS,SC,IMBITUBA
6874614,ROSIMERE DA SILVA GARCIA,SC,IMBITUBA
6949851,GEAZI ALDRIGHI GALARZ,SC,IMBITUBA
6949843,CLINICA EVOLUCAO DA SAUDE LTDA,SC,IMBITUBA
6914896,ORL KIST OTORRINOLARINGOLOGIA LTDA ME,SC,IMBITUBA
6853382,SAMU SERVICO DE ATENDIMENTO MOVEL DE URGENCIA IMBITUBA,SC,IMBITUBA
6831818,LEONORA SEBOLD BRANCO RODRIGUES,SC,IMBITUBA
7050178,ODONTO CLEAN,SC,IMBITUBA
6962777,SAO LUCAS CENTRO MULTIPROFISSIONAL LTDA,SC,IMBITUBA
6989713,CONSULTORIO ODONTOLOGICO VILA NOVA,SC,IMBITUBA
6986382,CONSULTORIO ODONTOLOGICO,SC,IMBITUBA
6986536,CONSULTORIO DE PSICOLOGIA,SC,IMBITUBA
6379990,VIGILANCIA EPIDEMIOLOGICA,SC,IMBITUBA
6435254,CENTRO DE FISIOTERAPIA SAUDE E BELEZA,SC,IMBITUBA
2588889,UNIDADE BASICA DE SAUDE CENTRO,SC,IMBUIA
6468462,SECRETARIA MUNICIPAL DE SAUDE DE IMBUIA,SC,IMBUIA
2588897,FUNDACAO HOSPITALAR DE IMBUIA,SC,IMBUIA
6048137,EDDY ALVAREZ ANTEZANA,SC,INDAIAL
6633951,SAMU SERVICO DE ATENDIMENTO MOVEL DE URGENCIA,SC,INDAIAL
6394884,REIS ODONTOLOGIA,SC,INDAIAL
6384722,FISIOSTANGE CENTRO DE TERAPIAS E ESTETICA,SC,INDAIAL
6887910,ESTRATEGIA DE SAUDE DA FAMILIA CAETANO DA SILVA PORTO II,SC,INDAIAL
6954251,LUCIANO HUGO PRAUN,SC,INDAIAL
6306721,CLINICA MEDICA ELLOS S S LTDA,SC,INDAIAL
6876625,ODONTO EXCELLENCE,SC,INDAIAL
6965571,META SORRISO,SC,INDAIAL
6968643,DANIELLE ZERMIANI MAUL,SC,INDAIAL
5894204,APAE DE INDAIAL,SC,INDAIAL
2302713,UNIDADE SANITARIA DE IOMERE,SC,IOMERE
2302535,POSTO DE SAUDE DE BOM SUCESSO,SC,IOMERE
2691507,HOSPITAL PIRATUBA IPIRA,SC,IPIRA
2689405,UNIDADE BASICA DE SAUDE SEDE IPIRA,SC,IPIRA
6484824,SECRETARIA MUNICIPAL DE SAUDE DE IPIRA,SC,IPIRA
2689618,UNIDADE BASICA DE SAUDE FILADELFIA IPIRA,SC,IPIRA
4060563,LABORATORIO DE ANALISES CLINICAS,SC,IPIRA
6295371,APAE CAMINHO DE LUZ,SC,IPORA DO OESTE
2551268,SERVMED,SC,IPORA DO OESTE
6361455,CONSULTORIO DE PSICOLOGIA,SC,IPORA DO OESTE
3099083,GENOIR MALDANER,SC,IPORA DO OESTE
2551233,PAULO ALBERTO SODER,SC,IPORA DO OESTE
6359884,SECRETARIA MUNICIPAL DA SAUDE DE IPORA DO OESTE,SC,IPORA DO OESTE
2378183,HOSPITAL DE IPORA,SC,IPORA DO OESTE
2551241,ELIANE MARIA BAVARESCO ZANCAN,SC,IPORA DO OESTE
2551225,SILVIO JOSE SODER,SC,IPORA DO OESTE
2647680,UNIDADE SANITARIA PINHALZINHO RESERVA INDIGENA,SC,IPUACU
2410915,UNIDADE SANITARIA SAMBURA,SC,IPUACU
2410923,UNIDADE SANITARIA AREA INDIGENA,SC,IPUACU
2410966,UNIDADE SANITARIA DE IPUACU,SC,IPUACU
6512054,SECRETARIA MUNICIPAL DE SAUDE DE IPUACU,SC,IPUACU
5671515,CLINICA DE REABILITACAO POR DO SOL,SC,IPUACU
3112454,LABORATORIO THAIS SPOSITO,SC,IPUMIRIM
5294711,CLINICA LA VIE,SC,IPUMIRIM
3966682,IPULABOR,SC,IPUMIRIM
6509045,SECRETARIA MUNICIPAL DE SAUDE IPUMIRIM,SC,IPUMIRIM
5252830,SANTA MARIA SERVICOS MEDICOS VANDERLEI,SC,IPUMIRIM
5252822,SANTA MARIA SERVICOS MEDICOS,SC,IPUMIRIM
6249604,HOSPITAL SAO CAMILO,SC,IPUMIRIM
6383130,ROSMARI SALETE BALDISSARELLI DALMORA,SC,IPUMIRIM
6808387,UNIDADE BASICA DE SAUDE ARY GIOMBELLI,SC,IPUMIRIM
6773923,ALDOIR DE MELO MORAES,SC,IRACEMINHA
6794637,LUCIANO ROBERTO LUNKES,SC,IRACEMINHA
2557983,UBS SEDE,SC,IRANI
5672007,DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS,SC,IRANI
5315786,J G MED CLINICA MEDICA E SEGURANCA DO TRABALHO LTDA,SC,IRANI
5399734,APAE ESCOLA ESPECIAL ARCO IRIS,SC,IRANI
3285618,UBS MARLEI ALVES BATISTA,SC,IRANI
3596443,CLINICA DE FISIOTERAPIA REABILITARE,SC,IRANI
6479782,SECRETARIA MUNICIPAL DE SAUDE DE IRANI,SC,IRANI
5564727,POLICLINICA IRANI,SC,IRANI
6534473,SECRETARIA MUNICIPAL DE SAUDE DE IRATI,SC,IRATI
2538326,UNIDADE SANITARIA SEDE DE IRATI,SC,IRATI
2491257,LABORATORIO DE ANALISES CLINICAS GIANNE LTDA,SC,IRINEOPOLIS
6558674,ESF DE SAO PASCOAL,SC,IRINEOPOLIS
2672588,ESF DO RIO BRANCO,SC,IRINEOPOLIS
3719081,SAMU SUPORTE BASICO IRINEOPOLIS,SC,IRINEOPOLIS
2491311,HOSPITAL MUNICIPAL BOM JESUS,SC,IRINEOPOLIS
2672618,POSTO DE SAUDE DE POCO PRETO,SC,IRINEOPOLIS
6558410,SECRETARIA MUNICIPAL DE SAUDE DE IRINEOPOLIS,SC,IRINEOPOLIS
5360706,KG FISIOTERAPIA,SC,IRINEOPOLIS
2693542,BIOANALISE,SC,ITA
2690608,POSTO DE SAUDE NOVA SANTA CRUZ,SC,ITA
6632475,STUMPF CLINICA MEDICA LTDA,SC,ITA
2691728,FISIOCENTER CENTRO DE FISIOTERAPIA E REABILITACAO,SC,ITA
2690993,POSTO DE SAUDE ADOLFO KONDER,SC,ITA
2690357,PROGRAMA SAUDE DA FAMILIA ITA,SC,ITA
6509665,SECRETARIA MUNICIPAL DE SAUDE DE ITA,SC,ITA
6246540,LABORATORIO LABVITA,SC,ITA
6110541,OLN CLINICA ODONTOLOGICA LTDA,SC,ITA
6368069,ANA CELIA FIGUEIREDO DOS REIS STUMPF,SC,ITA
2689804,UNIDADE SANITARIA CENTRAL ITA,SC,ITA
2379031,ESF INTEGRACAO PARAGUACU IRACEMA,SC,ITAIOPOLIS
3768007,CAPS I CENTRO DE ATENCAO PSICO SOCIAL,SC,ITAIOPOLIS
2663392,ESF BOM JESUS,SC,ITAIOPOLIS
2665107,HOSPITAL SANTO ANTONIO DE ITAIOPOLIS,SC,ITAIOPOLIS
3251349,BOMBEIROS VOLUNTARIOS DE ITAIOPOLIS,SC,ITAIOPOLIS
2379279,BIO ANALISES ITAIOPOLIS,SC,ITAIOPOLIS
2378973,ESF MOEMA,SC,ITAIOPOLIS
2379015,ESF INTEGRACAO CONTAGEM WORELL POCO CLARO,SC,ITAIOPOLIS
5062012,MAGALI BIANCHI ALCANTARA,SC,CACADOR
5168228,CONSULTORIO ODONTOLOGICO MARICELDA TONIETO,SC,CACADOR
3538133,MARIA LUCIA MACEDO BERTOLINI,SC,CACADOR
2302241,POSTO DE SAUDE BAIRRO RANCHO FUNDO,SC,CACADOR
3049183,CAPS CENTRO DE ATENCAO PSICOSSOCIAL,SC,CACADOR
5218888,CLINICA MEDICA DR NORTHON LTDA,SC,CACADOR
5007852,CLINICA CARDIOVASCULAR,SC,CACADOR
5061997,CLINICA DR SIDNEY MARINS,SC,CACADOR
5007712,ALAOR LEBELEIN,SC,CACADOR
5007933,HELDER ROMEIRO XAVIER,SC,CACADOR
3669327,PEDRO ROMAN ROS,SC,CACADOR
6380271,CONSULTORIO DE PSICOLOGIA IZABEL CRISTINA EMMER BECKER,SC,CACADOR
6360866,CONSULTORIO MEDICO DRA DANIELA KIST BUSNARDO,SC,CACADOR
6163254,CLINICA DE FISIOTERAPIA CONTESTADO,SC,CACADOR
6591795,CONSULTORIO ODONTOLOGICO CYNTHIA SIMONINI,SC,CACADOR
5953243,CLINICA MATERNO INFANTIL DRA MARIA DA GRACA,SC,CACADOR
5244501,EDUARDO BARBOSA LOPES,SC,CACADOR
6410480,CONSULTORIO ODONTOLOGICO MARCIA ELAINE BONFANTI,SC,CACADOR
5953324,POSTO DE SAUDE BAIRRO N S SALETE,SC,CACADOR
6501842,CONSULTORIO ODONTOLOGICO MIGUELANGELO CURY,SC,CACADOR
6587909,IOT CACADOR CLINICA DE ORTOPEDIA LTDA,SC,CACADOR
6373461,ROCHA E SOLETTI LTDA,SC,CACADOR
6781934,VITHACLIN FISIOTERAPIA,SC,CACADOR
6595650,RADIOGRAPH,SC,CACADOR
3147533,CLINICA DE REABILITACAO CACADOR,SC,CACADOR
5895022,GRAZIELA BARP,SC,CACADOR
5953367,APAE,SC,CACADOR
6795897,CENTRO DE DIAGNOSTICO UNIMED,SC,CACADOR
6049575,VIVIANE CARNEIRO,SC,CACADOR
6829384,CONSULTORIO DENTARIO DR MARCELO E DRA FERNANDA,SC,CACADOR
6136818,PROCLIN CLINICA DE FISIOTERAPIA,SC,CACADOR
6878709,DIGIMAX,SC,CACADOR
2625377,LABORATORIO HEBERLE LTDA,SC,CAIBI
3969282,ARNO ADALBERTO BIANCHINI,SC,CAIBI
2538083,HOSPITAL CAIBI,SC,CAIBI
2625369,FISIOCLIN,SC,CAIBI
2538091,UNIDADE SANITARIA SEDE DE CAIBI,SC,CAIBI
5120519,IRONES MARIOTTO BIANCHINI,SC,CAIBI
6764266,SORRISO VITAL,SC,CAIBI
6488129,SISO ODONTOLOGIA,SC,CAIBI
